130;0$
155;764$
184;1394$
136;1867$
108;2603$
75;3487$
75;4553$
139;5623$
193;6340$
211;6765$
210;7089$
208;7418$
192;7761$
172;8187$
122;8728$
121;9539$
144;10355$
156;11044$
179;11668$
203;12169$
209;12814$
213;13148$
209;13464$
200;13798$
172;14186$
129;14727$
92;15498$
51;16471$
63;17670$
167;18803$
198;19371$
201;19764$
214;20147$
215;20456$
216;20760$
179;21055$
87;21555$
51;22557$
51;23757$
115;24956$
188;25803$
208;26255$
212;26595$
210;26915$
210;27246$
210;27577$
210;27908$
210;28239$
209;28572$
209;28909$
210;29246$
